22	398579, 211586, 1336233, 1380363, 318167, 351745, 314608, 225849, 1201295, 399599, 325240, 407976, 693970, 693971, 693972, 693973, 693974, 402882, 323850, 318161, 1236541, 1236542, 327275, 1336240, 637905, 425104, 458817, 1236544, 1336247, 1353536, 392500, 326297, 60481, 60480, 94122, 399804, 319224, 1236543, 1305841, 332186
23	1336240
24	399804, 319224, 1236543, 1305841
59	1123499
72	641147
101	929703
103	929703
104	880070
105	761193, 1123078, 1123077
106	761193
107	1123277, 504472, 1123278, 1123276
108	504472
158	999440, 243275, 699187, 999429, 999427, 999428, 999438, 999439, 999436, 999437, 999434, 999435, 999433, 999430, 999431
159	565034, 1266923
160	1155776, 491080, 491079, 491078, 243276, 686990, 491081, 666714, 1095955, 455434, 1155775
162	754027, 1306407
163	877418
165	907348
167	869209
173	1001588, 1049795, 1291361, 1049922, 1049920, 1049921, 1218577, 214675, 1085547, 1085548, 1085545, 1085546, 1085544, 1291363, 1291362, 1049940, 1049902, 1049903, 1049904, 996810, 1001599, 1049905, 1193018, 1193017, 1218578, 1001596, 1001601, 1085538, 1049801, 1049805, 1049804, 1049807, 1049806, 1049803, 1049802, 1291310, 1291356, 1291357, 1291354, 1291355, 1085543, 1049926, 1049927, 1049928, 1049929, 1193029, 1291358, 1085542, 57678, 1049911, 573825, 1049913, 1049912, 189518, 1001586, 1001587, 1049924, 1049925, 1240691, 1240692, 1218574, 1291359, 1291360, 1049931, 1049933, 1049936, 1001591, 1001590, 1249484, 1291342, 1001986, 1001987, 996853, 996852, 996855, 996854, 996857, 996856, 996859, 996851, 996850, 996858, 996837, 996836, 996833, 996832, 996819, 996818, 996815, 996814, 996817, 996816, 996811, 996813, 996812, 267671, 996842, 996843, 996840, 996847, 1291316, 1291317, 1291315, 1291318, 1291319, 1001602, 1049820, 1291338, 1291339, 1291334, 1291335, 1291336, 1291337, 1291330, 1291331, 1291332, 1291333, 1001603, 1291327, 1291326, 1291324, 1291321, 1291320, 996835, 996831, 996830, 1001598, 996834, 996839, 1291349, 1291348, 996860, 996861, 996862, 996863, 996824, 1291325, 1291323, 1291322, 996841, 996844, 996845, 1049821, 996828, 996829, 996820, 996821, 996822, 996823, 996825, 996826, 996827, 1291345, 1291344, 1291347, 1291346, 1291341, 1291340, 1291343, 1049819, 996838, 996848, 1291329, 1291328, 996846, 996849, 1291309, 1291308, 1049815, 1218579, 1193041, 1193040, 1193044, 1218582, 1049908, 1049909, 1049907, 1291352, 1291353, 1193019, 1049910, 1291351, 1193060, 1049814, 1049923, 1193028, 996803, 1291366, 1291365, 1291364, 1193042, 1049939, 1049938, 1193039, 1085541, 1001594, 1001597, 1193014, 1291307, 996809, 1049906, 996802, 1049930, 1049932, 1049935, 1049934, 1049937
192	192, 1064539, 1262469
195	1183380, 887292, 887293, 887290, 887291, 887296, 887297, 887294, 887295, 887298, 887299, 1367491, 887319, 887318, 887317, 887316, 887315, 887314, 887313, 887312, 887311, 887310, 1358410, 1273173, 306254, 887281, 887280, 887283, 887282, 887285, 887284, 887287, 887286, 887289, 887288, 1437818, 1183378, 1183379, 1247729, 887300, 887301, 887302, 887303, 887304, 887305, 887306, 887307, 887308, 887309, 887320, 887321, 1412896, 1412897, 1242865, 864566
198	91352
199	929793, 1242965, 1242967, 1242966, 1242969, 1242968, 1243032, 360104
200	1121268, 360105
201	306263, 1388750, 1453988, 1453989, 1388749, 1031536
202	202
203	553218
204	1073353, 1244083, 553219
206	32024
