	0.05_0	0.07_0	0.1_0	0.02_0	1_0
PF04611	0.000	0.000	0.000	0.000	0.000
PF03306	0.000	0.000	0.000	0.000	0.000
PF05282	0.000	0.000	0.000	0.000	0.000
PF08142	0.000	0.000	0.000	0.000	0.000
PF03417	0.000	0.000	0.000	0.000	0.000
PF07247	0.000	0.000	0.000	0.000	0.000
PF13339	0.000	0.000	0.000	0.000	0.000
PF00696	0.000	0.000	0.000	0.000	0.000
PF00324	0.000	0.000	0.000	0.000	0.000
PF13520	0.000	0.000	0.000	0.000	0.000
PF13906	0.000	0.000	0.000	0.000	0.000
PF08403	0.000	0.000	0.000	0.000	0.000
PF06684	0.000	0.000	0.000	0.000	0.000
PF01490	0.000	0.000	0.000	0.000	0.000
PF12430	0.000	0.000	0.000	0.000	0.000
PF02496	0.000	0.000	0.000	0.000	0.000
PF14156	0.000	0.000	0.000	0.000	0.000
PF00950	0.000	0.000	0.000	0.000	0.000
PF03109	0.000	0.000	0.000	0.000	0.000
PF01061	0.000	0.000	0.000	0.000	0.000
PF12679	0.000	0.000	0.000	0.000	0.000
PF12698	0.000	0.000	0.000	0.000	0.000
PF12730	0.000	0.000	0.000	0.000	0.000
PF13346	0.000	0.000	0.000	0.000	0.000
PF06182	0.000	0.000	0.000	0.000	0.000
PF09818	0.000	0.000	0.000	0.000	0.000
PF09819	0.000	0.000	0.000	0.000	0.000
PF00664	0.000	0.000	0.000	0.000	0.000
PF06472	0.000	0.000	0.000	0.000	0.000
PF13748	0.000	0.000	0.000	0.000	0.000
PF04392	0.000	0.000	0.000	0.000	0.000
PF00005	0.000	0.000	0.000	0.000	0.000
PF09822	0.000	0.000	0.000	0.000	0.000
PF14510	0.000	0.000	0.000	0.000	0.000
PF12848	0.000	0.000	0.000	0.000	0.000
PF12407	0.000	0.000	0.000	0.000	0.000
PF05270	0.000	0.000	0.000	0.000	0.000
PF03806	0.000	0.000	0.000	0.000	0.000
PF00561	0.000	0.000	0.000	0.000	0.000
PF02230	0.000	0.000	0.000	0.000	0.083
PF07859	0.000	0.000	0.000	0.000	0.000
PF08386	0.000	0.000	0.000	0.000	0.000
PF12695	0.000	0.000	0.000	0.000	0.000
PF12697	0.000	0.000	0.000	0.000	0.000
PF12715	0.000	0.000	0.000	0.000	0.000
PF06259	0.000	0.000	0.000	0.000	0.000
PF10081	0.000	0.000	0.000	0.000	0.000
PF15420	0.000	0.000	0.000	0.000	0.000
PF04083	0.000	0.000	0.000	0.000	0.000
PF02517	0.000	0.000	0.000	0.000	0.000
PF14253	0.000	0.000	0.000	0.000	0.000
PF07751	0.000	0.000	0.000	0.000	0.000
PF14355	0.000	0.000	0.000	0.000	0.000
PF07815	0.000	0.000	0.000	0.000	0.000
PF03992	0.000	0.000	0.000	0.000	0.000
PF09441	0.000	0.000	0.000	0.000	0.000
PF14250	0.000	0.000	0.000	0.000	0.000
PF13000	0.000	0.000	0.000	0.000	0.000
PF00887	0.000	0.000	0.000	0.000	0.000
PF03255	0.000	0.000	0.000	0.000	0.000
PF08326	0.000	0.000	0.000	0.000	0.000
PF13822	0.000	0.000	0.000	0.000	0.000
PF14733	0.000	0.000	0.000	0.000	0.000
PF06315	0.000	0.000	0.000	0.000	0.000
PF00871	0.000	0.000	0.000	0.000	0.000
PF09290	0.000	0.000	0.000	0.000	0.000
PF08882	0.000	0.000	0.000	0.000	0.000
PF02550	0.000	0.000	0.000	0.000	0.000
PF13336	0.000	0.000	0.000	0.000	0.000
PF00583	0.000	0.000	0.000	0.000	0.000
PF13673	0.000	0.000	0.000	0.000	0.000
PF13720	0.000	0.000	0.000	0.000	0.000
PF13880	0.000	0.000	0.000	0.000	0.000
PF00797	0.000	0.000	0.000	0.000	0.182
PF13302	0.000	0.000	0.000	0.000	0.000
PF13420	0.000	0.000	0.000	0.000	0.000
PF13444	0.000	0.000	0.000	0.000	0.000
PF13480	0.000	0.000	0.000	0.000	0.000
PF13508	0.000	0.000	0.000	0.000	0.000
PF13523	0.000	0.000	0.000	0.000	0.000
PF13527	0.000	0.000	0.000	0.000	0.000
PF14542	0.000	0.000	0.000	0.000	0.000
PF08674	0.000	0.000	0.000	0.000	0.000
PF15270	0.000	0.000	0.000	0.000	0.000
PF03767	0.000	0.000	0.000	0.000	0.000
PF12689	0.000	0.000	0.000	0.000	0.000
PF00330	0.000	0.000	0.000	0.000	0.000
PF06434	0.000	0.000	0.000	0.000	0.000
PF11791	0.000	0.000	0.000	0.000	0.000
PF00694	0.000	0.000	0.000	0.000	0.000
PF01756	0.000	0.000	0.000	0.000	0.000
PF06857	0.000	0.000	0.000	0.000	0.000
PF05777	0.000	0.000	0.000	0.000	0.000
PF06313	0.000	0.000	0.000	0.000	0.000
PF01648	0.000	0.000	0.000	0.000	0.000
PF08545	0.000	0.000	0.000	0.000	0.000
PF08541	0.000	0.000	0.000	0.000	0.000
PF00873	0.000	0.000	0.000	0.000	0.000
PF01842	0.000	0.000	0.000	0.000	0.000
PF09192	0.000	0.000	0.000	0.000	0.000
PF05058	0.000	0.000	0.000	0.000	0.000
PF00976	0.000	0.000	0.000	0.000	0.000
PF00022	0.000	0.000	0.000	0.000	0.000
PF14408	0.000	0.000	0.000	0.000	0.000
PF11657	0.000	0.000	0.000	0.000	0.000
PF11498	0.000	0.000	0.000	0.000	0.000
PF01064	0.000	0.000	0.000	0.000	0.000
PF10000	0.000	0.000	0.000	0.000	0.000
PF13291	0.000	0.000	0.000	0.000	0.000
PF13710	0.000	0.000	0.000	0.000	0.000
PF13740	0.000	0.000	0.000	0.000	0.000
PF13840	0.000	0.000	0.000	0.000	0.000
PF01643	0.000	0.000	0.000	0.000	0.000
PF00441	0.000	0.000	0.000	0.000	0.000
PF08028	0.000	0.000	0.000	0.000	0.000
PF12806	0.000	0.000	0.000	0.000	0.000
PF02770	0.000	0.000	0.000	0.000	0.000
PF02771	0.000	0.000	0.000	0.000	0.000
PF14749	0.000	0.000	0.000	0.000	0.000
PF12590	0.000	0.000	0.000	0.000	0.000
PF12186	0.000	0.000	0.000	0.000	0.000
PF12418	0.000	0.000	0.000	0.000	0.000
PF00708	0.000	0.000	0.000	0.000	0.000
PF01553	0.000	0.000	0.000	0.000	0.000
PF02551	0.000	0.000	0.000	0.000	0.000
PF00698	0.000	0.000	0.000	0.000	0.000
PF02273	0.000	0.000	0.000	0.000	0.000
PF01757	0.000	0.000	0.000	0.000	0.000
PF09793	0.000	0.000	0.000	0.000	0.000
PF10198	0.000	0.000	0.000	0.000	0.000
PF08516	0.000	0.000	0.000	0.000	0.000
PF05986	0.000	0.000	0.000	0.000	0.000
PF10199	0.000	0.000	0.000	0.000	0.000
PF01602	0.000	0.000	0.000	0.000	0.000
PF00928	0.000	0.000	0.000	0.000	0.000
PF02805	0.000	0.000	0.000	0.000	0.000
PF06314	0.000	0.000	0.000	0.000	0.000
PF13382	0.000	0.000	0.000	0.000	0.000
PF03352	0.000	0.000	0.000	0.000	0.000
PF04008	0.000	0.000	0.000	0.000	0.000
PF02438	0.000	0.000	0.000	0.000	0.000
PF03052	0.000	0.000	0.000	0.000	0.000
PF02703	0.000	0.000	0.000	0.000	0.000
PF01691	0.000	0.000	0.000	0.000	0.000
PF01696	0.000	0.000	0.000	0.000	0.000
PF04623	0.000	0.000	0.000	0.000	0.000
PF06040	0.000	0.000	0.000	0.000	0.000
PF05248	0.000	0.000	0.000	0.000	0.000
PF03376	0.000	0.000	0.000	0.000	0.000
PF04834	0.000	0.000	0.000	0.000	0.000
PF03307	0.000	0.000	0.000	0.000	0.000
PF02440	0.000	0.000	0.000	0.000	0.000
PF02439	0.000	0.000	0.000	0.000	0.000
PF05385	0.000	0.000	0.000	0.000	0.000
PF04528	0.000	0.000	0.000	0.000	0.000
PF06931	0.000	0.000	0.000	0.000	0.000
PF04881	0.000	0.000	0.000	0.000	0.000
PF01065	0.000	0.000	0.000	0.000	0.000
PF03678	0.000	0.000	0.000	0.000	0.000
PF02456	0.000	0.000	0.000	0.000	0.000
PF00541	0.000	0.000	0.000	0.000	0.000
PF01686	0.000	0.000	0.000	0.000	0.000
PF03955	0.000	0.000	0.000	0.000	0.000
PF03910	0.000	0.000	0.000	0.000	0.000
PF01310	0.000	0.000	0.000	0.000	0.000
PF05829	0.000	0.000	0.000	0.000	0.000
PF00608	0.000	0.000	0.000	0.000	0.000
PF02459	0.000	0.000	0.000	0.000	0.000
PF03228	0.000	0.000	0.000	0.000	0.000
PF01295	0.000	0.000	0.000	0.000	0.000
PF00709	0.000	0.000	0.000	0.000	0.000
PF12633	0.000	0.000	0.000	0.000	0.000
PF04439	0.000	0.000	0.000	0.000	0.000
PF09085	0.000	0.000	0.000	0.000	0.000
PF04619	0.000	0.000	0.000	0.000	0.000
PF03257	0.000	0.000	0.000	0.000	0.000
PF08240	0.000	0.000	0.000	0.000	0.000
PF13823	0.000	0.000	0.000	0.000	0.000
PF00106	0.000	0.000	0.000	0.000	0.000
PF13561	0.000	0.000	0.000	0.000	0.000
PF00107	0.000	0.000	0.000	0.000	0.000
PF13602	0.000	0.000	0.000	0.000	0.000
PF11559	0.000	0.000	0.000	0.000	0.000
PF15202	0.000	0.000	0.000	0.000	0.000
PF06377	0.000	0.000	0.000	0.000	0.000
PF00406	0.000	0.000	0.000	0.000	0.000
PF05191	0.000	0.000	0.000	0.000	0.000
PF05221	0.000	0.000	0.000	0.000	0.000
PF00670	0.000	0.000	0.000	0.000	0.000
PF08132	0.000	0.000	0.000	0.000	0.000
PF02675	0.000	0.000	0.000	0.000	0.000
PF07757	0.000	0.000	0.000	0.000	0.000
PF01941	0.000	0.000	0.000	0.000	0.000
PF03496	0.000	0.000	0.000	0.000	0.000
PF04587	0.000	0.000	0.000	0.000	0.000
PF03747	0.000	0.000	0.000	0.000	0.000
PF10397	0.000	0.000	0.000	0.000	0.000
PF08509	0.000	0.000	0.000	0.000	0.000
PF06355	0.000	0.000	0.000	0.000	0.000
PF01117	0.000	0.000	0.000	0.000	0.000
PF05110	0.000	0.000	0.000	0.000	0.000
PF14591	0.000	0.000	0.000	0.000	0.000
PF15017	0.000	0.000	0.000	0.000	0.000
PF14556	0.000	0.000	0.000	0.000	0.000
PF05775	0.000	0.000	0.000	0.000	0.000
PF15339	0.000	0.000	0.000	0.000	0.000
PF03969	0.000	0.000	0.000	0.000	0.000
PF07792	0.000	0.000	0.000	0.000	0.000
PF08493	0.000	0.000	0.000	0.000	0.000
PF01314	0.000	0.000	0.000	0.000	0.000
PF02730	0.000	0.000	0.000	0.000	0.000
PF02420	0.000	0.000	0.000	0.000	0.000
PF03756	0.000	0.000	0.000	0.000	0.000
PF08731	0.000	0.000	0.000	0.000	0.000
PF11786	0.000	0.000	0.000	0.000	0.000
PF11787	0.000	0.000	0.000	0.000	0.000
PF11785	0.000	0.000	0.000	0.000	0.000
PF12249	0.000	0.000	0.000	0.000	0.000
PF12250	0.000	0.000	0.000	0.000	0.000
PF04671	0.000	0.000	0.000	0.000	0.000
PF05641	0.000	0.000	0.000	0.000	0.000
PF07468	0.000	0.000	0.000	0.000	0.000
PF05039	0.000	0.000	0.000	0.000	0.000
PF10427	0.000	0.000	0.000	0.000	0.000
PF04647	0.000	0.000	0.000	0.000	0.000
PF05931	0.000	0.000	0.000	0.000	0.000
PF04730	0.000	0.000	0.000	0.000	0.000
PF11440	0.000	0.000	0.000	0.000	0.000
PF06396	0.000	0.000	0.000	0.000	0.000
PF09229	0.000	0.000	0.000	0.000	0.000
PF14412	0.000	0.000	0.000	0.000	0.000
PF00578	0.000	0.000	0.000	0.000	0.000
PF13911	0.000	0.000	0.000	0.000	0.000
PF02682	0.000	0.000	0.000	0.000	0.000
PF02626	0.000	0.000	0.000	0.000	0.000
PF08327	0.000	0.000	0.000	0.000	0.000
PF09236	0.000	0.000	0.000	0.000	0.000
PF15334	0.000	0.000	0.000	0.000	0.000
PF01808	0.000	0.000	0.000	0.000	0.000
PF14186	0.000	0.000	0.000	0.000	0.000
PF08910	0.000	0.000	0.000	0.000	0.000
PF14962	0.000	0.000	0.000	0.000	0.000
PF14721	0.000	0.000	0.000	0.000	0.000
PF04548	0.000	0.000	0.000	0.000	0.000
PF06094	0.000	0.000	0.000	0.000	0.000
PF13772	0.000	0.000	0.000	0.000	0.000
PF06316	0.000	0.000	0.000	0.000	0.000
PF01987	0.000	0.000	0.000	0.000	0.000
PF03915	0.000	0.000	0.000	0.000	0.000
PF10592	0.000	0.000	0.000	0.000	0.000
PF00731	0.000	0.000	0.000	0.000	0.000
PF00586	0.000	0.000	0.000	0.000	0.000
PF02769	0.000	0.000	0.000	0.000	0.000
PF15298	0.000	0.000	0.000	0.000	0.000
PF14469	0.000	0.000	0.000	0.000	0.000
PF15304	0.000	0.000	0.000	0.000	0.000
PF10469	0.000	0.000	0.000	0.000	0.000
PF10470	0.000	0.000	0.000	0.000	0.000
PF04988	0.000	0.000	0.000	0.000	0.000
PF05716	0.000	0.000	0.000	0.000	0.000
PF12443	0.000	0.000	0.000	0.000	0.000
PF00490	0.000	0.000	0.000	0.000	0.000
PF01262	0.000	0.000	0.000	0.000	0.000
PF05222	0.000	0.000	0.000	0.000	0.000
PF00842	0.000	0.000	0.000	0.000	0.000
PF01168	0.000	0.000	0.000	0.000	0.000
PF09135	0.000	0.000	0.000	0.000	0.000
PF01918	0.000	0.000	0.000	0.000	0.000
PF08027	0.000	0.000	0.000	0.000	0.000
PF11606	0.000	0.000	0.000	0.000	0.000
PF00171	0.000	0.000	0.000	0.000	0.000
PF01081	0.000	0.000	0.000	0.000	0.000
PF10120	0.000	0.000	0.000	0.000	0.000
PF00596	0.000	0.000	0.000	0.000	0.000
PF01263	0.000	0.000	0.000	0.000	0.000
PF00248	0.000	0.000	0.000	0.000	0.000
PF01315	0.000	0.000	0.000	0.000	0.000
PF02738	0.000	0.000	0.000	0.000	0.000
PF03752	0.000	0.000	0.000	0.000	0.000
PF08660	0.000	0.000	0.000	0.000	0.000
PF05208	0.000	0.000	0.000	0.000	0.000
PF03155	0.000	0.000	0.000	0.000	0.000
PF11182	0.000	0.000	0.000	0.000	0.000
PF13372	0.000	0.000	0.000	0.000	0.000
PF05426	0.000	0.000	0.000	0.000	0.000
PF08787	0.000	0.000	0.000	0.000	0.000
PF13949	0.000	0.000	0.000	0.000	0.000
PF06029	0.000	0.000	0.000	0.000	0.000
PF14864	0.000	0.000	0.000	0.000	0.000
PF14863	0.000	0.000	0.000	0.000	0.000
PF00245	0.000	0.000	0.000	0.000	0.000
PF03561	0.000	0.000	0.000	0.000	0.000
PF05953	0.000	0.000	0.000	0.000	0.000
PF06351	0.000	0.000	0.000	0.000	0.000
PF05549	0.000	0.000	0.000	0.000	0.000
PF04864	0.000	0.000	0.000	0.000	0.000
PF15309	0.000	0.000	0.000	0.000	0.000
PF11744	0.000	0.000	0.000	0.000	0.000
PF04030	0.000	0.000	0.000	0.000	0.000
PF06401	0.000	0.000	0.000	0.000	0.000
PF06400	0.000	0.000	0.000	0.000	0.000
PF00128	0.000	0.000	0.000	0.000	0.000
PF02806	0.000	0.000	0.000	0.000	0.000
PF02903	0.000	0.000	0.000	0.000	0.000
PF09071	0.000	0.000	0.000	0.000	0.000
PF07821	0.000	0.000	0.000	0.000	0.000
PF04168	0.000	0.000	0.000	0.000	0.000
PF14456	0.000	0.000	0.000	0.000	0.000
PF06964	0.000	0.000	0.000	0.000	0.000
PF09261	0.000	0.000	0.000	0.000	0.000
PF08829	0.000	0.000	0.000	0.000	0.000
PF02883	0.000	0.000	0.000	0.000	0.000
PF02296	0.000	0.000	0.000	0.000	0.000
PF01589	0.000	0.000	0.000	0.000	0.000
PF00943	0.000	0.000	0.000	0.000	0.000
PF01563	0.000	0.000	0.000	0.000	0.000
PF03229	0.000	0.000	0.000	0.000	0.000
PF02816	0.000	0.000	0.000	0.000	0.000
PF01120	0.000	0.000	0.000	0.000	-0.054
PF02232	0.000	0.000	0.000	0.000	0.000
PF09608	0.000	0.000	0.000	0.000	0.000
PF15299	0.000	0.000	0.000	0.000	0.000
PF10369	0.000	0.000	0.000	0.000	0.000
PF11092	0.000	0.000	0.000	0.000	0.000
PF02430	0.000	0.000	0.000	0.000	0.000
PF07344	0.000	0.000	0.000	0.000	0.000
PF03913	0.000	0.000	0.000	0.000	0.000
PF12475	0.000	0.000	0.000	0.000	0.000
PF05111	0.000	0.000	0.000	0.000	0.000
PF02948	0.000	0.000	0.000	0.000	0.000
PF12190	0.000	0.000	0.000	0.000	0.000
PF04709	0.000	0.000	0.000	0.000	0.000
PF01425	0.000	0.000	0.000	0.000	0.000
PF12123	0.000	0.000	0.000	0.000	0.000
PF01510	0.000	0.000	0.000	0.000	0.000
PF01520	0.000	0.000	0.000	0.000	0.000
PF05382	0.000	0.000	0.000	0.000	0.000
PF12671	0.000	0.000	0.000	0.000	0.000
PF02274	0.000	0.000	0.000	0.000	0.000
PF01979	0.000	0.000	0.000	0.000	0.000
PF04909	0.000	0.000	0.000	0.000	0.000
PF07969	0.000	0.000	0.000	0.000	0.000
PF13147	0.000	0.000	0.000	0.000	0.000
PF13594	0.000	0.000	0.000	0.000	0.000
