	0.05_0	0.07_0	0.1_0	0.02_0	1_0
PF00173	0.000	0.000	0.000	0.000	0.000
PF12378	0.000	0.000	0.000	0.000	0.000
PF07271	0.000	0.000	0.000	0.000	0.000
PF08802	0.000	0.000	0.000	0.000	0.000
PF01928	0.000	0.000	0.000	0.000	0.000
PF02224	0.000	0.000	0.000	0.000	0.000
PF13189	0.000	0.000	0.000	0.000	0.000
PF15153	0.000	0.000	0.000	0.000	0.000
PF09786	0.000	0.000	0.000	0.000	0.000
PF10643	0.000	0.000	0.000	0.000	0.000
PF13435	0.000	0.000	0.000	0.000	0.000
PF14522	0.000	0.000	0.000	0.000	0.000
PF11783	0.000	0.000	0.000	0.000	0.000
PF13442	0.000	0.000	0.000	0.000	0.000
PF05038	0.000	0.000	0.000	0.000	0.000
PF00283	0.000	0.000	0.000	0.000	0.000
PF00284	0.000	0.000	0.000	0.000	0.000
PF03188	0.000	0.000	0.000	0.000	0.000
PF07361	0.000	0.000	0.000	0.000	0.000
PF00032	0.000	0.000	0.000	0.000	0.000
PF00033	0.000	0.000	0.000	0.000	0.000
PF13631	0.000	0.000	0.000	0.000	0.000
PF00034	0.000	0.000	0.000	0.000	-0.216
PF02167	0.000	0.000	0.000	0.000	0.000
PF14537	0.000	0.000	0.000	0.000	0.000
PF14495	0.000	0.000	0.000	0.000	0.000
PF02335	0.000	0.000	0.000	0.000	0.000
PF02085	0.000	0.000	0.000	0.000	0.000
PF01322	0.000	0.000	0.000	0.000	0.000
PF01578	0.000	0.000	0.000	0.000	0.000
PF02239	0.000	0.000	0.000	0.000	0.000
PF03264	0.000	0.000	0.000	0.000	0.000
PF02276	0.000	0.000	0.000	0.000	0.000
PF09265	0.000	0.000	0.000	0.000	0.000
PF10407	0.000	0.000	0.000	0.000	0.000
PF01801	0.000	0.000	0.000	0.000	0.000
PF06084	0.000	0.000	0.000	0.000	0.000
PF05984	0.000	0.000	0.000	0.000	0.000
PF06284	0.000	0.000	0.000	0.000	0.000
PF05963	0.000	0.000	0.000	0.000	0.000
PF09000	0.000	0.000	0.000	0.000	0.000
PF01265	0.000	0.000	0.000	0.000	0.000
PF02322	0.000	0.000	0.000	0.000	0.000
PF12270	0.000	0.000	0.000	0.000	0.000
PF13682	0.000	0.000	0.000	0.000	0.000
PF09719	0.000	0.000	0.000	0.000	0.000
PF02363	0.000	0.000	0.000	0.000	0.000
PF07908	0.000	0.000	0.000	0.000	0.000
PF14031	0.000	0.000	0.000	0.000	0.000
PF07065	0.000	0.000	0.000	0.000	0.000
PF08706	0.000	0.000	0.000	0.000	0.000
PF07876	0.000	0.000	0.000	0.000	0.000
PF02109	0.000	0.000	0.000	0.000	0.000
PF05454	0.000	0.000	0.000	0.000	0.000
PF03982	0.000	0.000	0.000	0.000	0.000
PF00609	0.000	0.000	0.000	0.000	0.000
PF00781	0.000	0.000	0.000	0.000	0.000
PF01219	0.000	0.000	0.000	0.000	0.000
PF14513	0.000	0.000	0.000	0.000	0.000
PF00793	0.000	0.000	0.000	0.000	0.000
PF01474	0.000	0.000	0.000	0.000	0.000
PF02733	0.000	0.000	0.000	0.000	0.137
PF13684	0.000	0.000	0.000	0.000	0.000
PF02734	0.000	0.000	0.000	0.000	0.000
PF07478	0.000	0.000	0.000	0.000	0.000
PF01820	0.000	0.000	0.000	0.000	0.000
PF05746	0.000	0.000	0.000	0.000	0.000
PF09190	0.000	0.000	0.000	0.000	0.000
PF05869	0.000	0.000	0.000	0.000	0.000
PF03045	0.000	0.000	0.000	0.000	0.000
PF01266	0.000	0.000	0.000	0.000	0.000
PF15199	0.000	0.000	0.000	0.000	0.000
PF15228	0.000	0.000	0.000	0.000	0.000
PF07213	0.000	0.000	0.000	0.000	0.000
PF10236	0.000	0.000	0.000	0.000	0.000
PF05173	0.000	0.000	0.000	0.000	0.000
PF01113	0.000	0.000	0.000	0.000	0.000
PF08503	0.000	0.000	0.000	0.000	0.000
PF15268	0.000	0.000	0.000	0.000	0.000
PF07930	0.000	0.000	0.000	0.000	0.000
PF07932	0.000	0.000	0.000	0.000	0.000
PF01678	0.000	0.000	0.000	0.000	0.000
PF05395	0.000	0.000	0.000	0.000	0.000
PF08655	0.000	0.000	0.000	0.000	0.000
PF08649	0.000	0.000	0.000	0.000	0.000
PF08654	0.000	0.000	0.000	0.000	0.000
PF08656	0.000	0.000	0.000	0.000	0.000
PF08650	0.000	0.000	0.000	0.000	0.000
PF08653	0.000	0.000	0.000	0.000	0.000
PF08651	0.000	0.000	0.000	0.000	0.000
PF08227	0.000	0.000	0.000	0.000	0.000
PF08287	0.000	0.000	0.000	0.000	0.000
PF08657	0.000	0.000	0.000	0.000	0.000
PF03344	0.000	0.000	0.000	0.000	0.000
PF11029	0.000	0.000	0.000	0.000	0.000
PF01682	0.000	0.000	0.000	0.000	0.000
PF14545	0.000	0.000	0.000	0.000	0.000
PF14443	0.000	0.000	0.000	0.000	0.000
PF10683	0.000	0.000	0.000	0.000	0.000
PF03108	0.000	0.000	0.000	0.000	0.000
PF13892	0.000	0.000	0.000	0.000	0.000
PF02277	0.000	0.000	0.000	0.000	0.000
PF12361	0.000	0.000	0.000	0.000	0.000
PF08147	0.000	0.000	0.000	0.000	0.000
PF03880	0.000	0.000	0.000	0.000	0.000
PF05011	0.000	0.000	0.000	0.000	0.000
PF15349	0.000	0.000	0.000	0.000	0.000
PF14939	0.000	0.000	0.000	0.000	0.000
PF06559	0.000	0.000	0.000	0.000	0.000
PF00383	0.000	0.000	0.000	0.000	0.000
PF08211	0.000	0.000	0.000	0.000	0.000
PF06058	0.000	0.000	0.000	0.000	0.000
PF05026	0.000	0.000	0.000	0.000	0.000
PF05652	0.000	0.000	0.000	0.000	0.000
PF11969	0.000	0.000	0.000	0.000	0.000
PF14047	0.000	0.000	0.000	0.000	0.000
PF11739	0.000	0.000	0.000	0.000	0.000
PF06808	0.000	0.000	0.000	0.000	0.000
PF04290	0.000	0.000	0.000	0.000	0.000
PF03605	0.000	0.000	0.000	0.000	0.000
PF03606	0.000	0.000	0.000	0.000	0.000
PF03607	0.000	0.000	0.000	0.000	0.000
PF07782	0.000	0.000	0.000	0.000	0.000
PF10172	0.000	0.000	0.000	0.000	0.000
PF10161	0.000	0.000	0.000	0.000	0.000
PF03455	0.000	0.000	0.000	0.000	0.000
PF03184	0.000	0.000	0.000	0.000	0.000
PF02914	0.000	0.000	0.000	0.000	0.000
PF13358	0.000	0.000	0.000	0.000	0.000
PF13546	0.000	0.000	0.000	0.000	0.000
PF01609	0.000	0.000	0.000	0.000	0.000
PF13586	0.000	0.000	0.000	0.000	0.000
PF13612	0.000	0.000	0.000	0.000	0.000
PF13701	0.000	0.000	0.000	0.000	0.000
PF13737	0.000	0.000	0.000	0.000	0.000
PF13751	0.000	0.000	0.000	0.000	0.000
PF13843	0.000	0.000	0.000	0.000	0.000
PF13808	0.000	0.000	0.000	0.000	0.000
PF04693	0.000	0.000	0.000	0.000	0.000
PF13359	0.000	0.000	0.000	0.000	0.000
PF03400	0.000	0.000	0.000	0.000	0.000
PF12762	0.000	0.000	0.000	0.000	0.000
PF13610	0.000	0.000	0.000	0.000	0.000
PF03050	0.000	0.000	0.000	0.000	0.000
PF13817	0.000	0.000	0.000	0.000	0.000
PF07592	0.000	0.000	0.000	0.000	0.000
PF01610	0.000	0.000	0.000	0.000	0.000
PF01526	0.000	0.000	0.000	0.000	0.000
PF02862	0.000	0.000	0.000	0.000	0.000
PF03345	0.000	0.000	0.000	0.000	0.000
PF08841	0.000	0.000	0.000	0.000	0.000
PF12747	0.000	0.000	0.000	0.000	0.000
PF09756	0.000	0.000	0.000	0.000	0.000
PF02791	0.000	0.000	0.000	0.000	0.000
PF12121	0.000	0.000	0.000	0.000	0.000
PF00270	0.000	0.000	0.000	0.000	0.000
PF12343	0.000	0.000	0.000	0.000	0.000
PF06733	0.000	0.000	0.000	0.000	0.000
PF08494	0.000	0.000	0.000	0.000	0.000
PF00531	0.000	0.000	0.000	0.000	0.000
PF14786	0.000	0.000	0.000	0.000	0.000
PF04624	0.000	0.000	0.000	0.000	0.000
PF04626	0.000	0.000	0.000	0.000	0.000
PF04625	0.000	0.000	0.000	0.000	0.000
PF02352	0.000	0.000	0.000	0.000	0.000
PF01335	0.000	0.000	0.000	0.000	0.000
PF01548	0.000	0.000	0.000	0.000	0.000
PF06920	0.000	0.000	0.000	0.000	0.000
PF00323	0.000	0.000	0.000	0.000	0.000
PF01097	0.000	0.000	0.000	0.000	0.000
PF08131	0.000	0.000	0.000	0.000	0.000
PF07936	0.000	0.000	0.000	0.000	0.000
PF00711	0.000	0.000	0.000	0.000	0.000
PF13841	0.000	0.000	0.000	0.000	0.000
PF14862	0.000	0.000	0.000	0.000	0.000
PF00879	0.000	0.000	0.000	0.000	0.000
PF08181	0.000	0.000	0.000	0.000	0.000
PF05384	0.000	0.000	0.000	0.000	0.000
PF01041	0.000	0.000	0.000	0.000	0.000
PF02645	0.000	0.000	0.000	0.000	0.000
PF13486	0.000	0.000	0.000	0.000	0.000
PF10778	0.000	0.000	0.000	0.000	0.000
PF09098	0.000	0.000	0.000	0.000	0.000
PF13816	0.000	0.000	0.000	0.000	0.000
PF02286	0.000	0.000	0.000	0.000	0.000
PF02288	0.000	0.000	0.000	0.000	0.000
PF02287	0.000	0.000	0.000	0.000	0.000
PF00257	0.000	0.000	0.000	0.000	0.000
PF08766	0.000	0.000	0.000	0.000	0.000
PF12041	0.000	0.000	0.000	0.000	0.000
PF05599	0.000	0.000	0.000	0.000	0.000
PF05372	0.000	0.000	0.000	0.000	0.000
PF15498	0.000	0.000	0.000	0.000	0.000
PF02141	0.000	0.000	0.000	0.000	0.000
PF02336	0.000	0.000	0.000	0.000	0.000
PF01791	0.000	0.000	0.000	0.000	0.000
PF00455	0.000	0.000	0.000	0.000	0.000
PF00610	0.000	0.000	0.000	0.000	0.000
PF15343	0.000	0.000	0.000	0.000	0.000
PF04511	0.000	0.000	0.000	0.000	0.000
PF14704	0.000	0.000	0.000	0.000	0.000
PF15291	0.000	0.000	0.000	0.000	0.000
PF06771	0.000	0.000	0.000	0.000	0.000
PF05497	0.000	0.000	0.000	0.000	0.000
PF01880	0.000	0.000	0.000	0.000	0.000
PF06397	0.000	0.000	0.000	0.000	0.000
PF09737	0.000	0.000	0.000	0.000	0.000
PF01905	0.000	0.000	0.000	0.000	0.000
PF10539	0.000	0.000	0.000	0.000	0.000
PF15198	0.000	0.000	0.000	0.000	0.000
PF09033	0.000	0.000	0.000	0.000	0.000
PF09230	0.000	0.000	0.000	0.000	0.000
PF04127	0.000	0.000	0.000	0.000	0.000
PF08630	0.000	0.000	0.000	0.000	0.000
PF08859	0.000	0.000	0.000	0.000	0.000
PF07324	0.000	0.000	0.000	0.000	0.000
PF11024	0.000	0.000	0.000	0.000	0.000
PF11038	0.000	0.000	0.000	0.000	0.000
PF11040	0.000	0.000	0.000	0.000	0.000
PF05035	0.000	0.000	0.000	0.000	0.000
PF00926	0.000	0.000	0.000	0.000	0.000
PF09626	0.000	0.000	0.000	0.000	0.000
PF08385	0.000	0.000	0.000	0.000	0.000
PF08393	0.000	0.000	0.000	0.000	0.000
PF00701	0.000	0.000	0.000	0.000	0.000
PF00186	0.000	0.000	0.000	0.000	0.000
PF06442	0.000	0.000	0.000	0.000	0.000
PF01368	-0.008	0.000	0.000	0.000	0.000
PF02272	0.000	0.000	0.000	0.000	0.000
PF02833	0.000	0.000	0.000	0.000	0.000
PF14286	0.000	0.000	0.000	0.000	0.000
PF12890	0.000	0.000	0.000	0.000	0.000
PF10418	0.000	0.000	0.000	0.000	0.000
PF01180	0.000	0.000	0.000	0.000	0.000
PF01959	0.000	0.000	0.000	0.000	0.000
PF01487	0.000	0.000	0.000	0.000	0.000
PF01220	0.000	0.000	0.000	0.000	0.000
PF01761	0.000	0.000	0.000	0.000	0.000
PF14571	0.000	0.000	0.000	0.000	0.000
PF05651	0.000	0.000	0.000	0.000	0.000
PF05358	0.000	0.000	0.000	0.000	0.000
PF03368	0.000	0.000	0.000	0.000	0.000
PF11492	0.000	0.000	0.000	0.000	0.000
PF04706	0.000	0.000	0.000	0.000	0.000
PF10069	0.000	0.000	0.000	0.000	0.000
PF09267	0.000	0.000	0.000	0.000	0.000
PF05720	0.000	0.000	0.000	0.000	0.000
PF05462	0.000	0.000	0.000	0.000	0.000
PF00526	0.000	0.000	0.000	0.000	0.000
PF05086	0.000	0.000	0.000	0.000	0.000
PF04562	0.000	0.000	0.000	0.000	0.000
PF04922	0.000	0.000	0.000	0.000	0.000
PF01843	0.000	0.000	0.000	0.000	0.000
PF08194	0.000	0.000	0.000	0.000	0.000
PF02966	0.000	0.000	0.000	0.000	0.000
PF08100	0.000	0.000	0.000	0.000	0.000
PF05699	0.000	0.000	0.000	0.000	0.000
PF02281	0.000	0.000	0.000	0.000	0.000
PF09505	0.000	0.000	0.000	0.000	0.000
PF05163	0.000	0.000	0.000	0.000	0.000
PF12867	0.000	0.000	0.000	0.000	0.000
PF06183	0.000	0.000	0.000	0.000	0.000
PF00775	0.000	0.000	0.000	0.000	0.000
PF04444	0.000	0.000	0.000	0.000	0.000
PF14226	0.000	0.000	0.000	0.000	0.000
PF01866	0.000	0.000	0.000	0.000	0.000
PF02763	0.000	0.000	0.000	0.000	0.000
PF01324	0.000	0.000	0.000	0.000	0.000
PF02764	0.000	0.000	0.000	0.000	0.000
PF11763	0.000	0.000	0.000	0.000	0.000
PF03018	0.000	0.000	0.000	0.000	0.000
PF06584	0.000	0.000	0.000	0.000	0.000
PF10635	0.000	0.000	0.000	0.000	0.000
PF08480	0.000	0.000	0.000	0.000	0.000
PF06848	0.000	0.000	0.000	0.000	0.000
PF02457	0.000	0.000	0.000	0.000	0.000
PF02377	0.000	0.000	0.000	0.000	0.000
PF00200	0.000	0.000	0.000	0.000	0.000
PF04505	0.000	0.000	0.000	0.000	0.000
PF06491	0.000	0.000	0.000	0.000	0.000
PF06750	0.000	0.000	0.000	0.000	0.000
PF05141	0.000	0.000	0.000	0.000	0.000
PF04977	0.000	0.000	0.000	0.000	0.000
PF05103	0.000	0.000	0.000	0.000	0.000
PF00778	0.000	0.000	0.000	0.000	0.000
PF01965	0.000	0.000	0.000	0.000	0.000
PF13587	0.000	0.000	0.000	0.000	0.000
PF08068	0.000	0.000	0.000	0.000	0.000
PF13644	0.000	0.000	0.000	0.000	0.000
PF14878	0.000	0.000	0.000	0.000	0.000
PF01738	0.000	0.000	0.000	0.000	0.000
PF05783	0.000	0.000	0.000	0.000	0.000
PF12413	0.000	0.000	0.000	0.000	0.000
PF04914	0.000	0.000	0.000	0.000	0.000
PF04918	0.000	0.000	0.000	0.000	0.000
PF04915	0.000	0.000	0.000	0.000	0.000
PF00751	0.000	0.000	0.000	0.000	0.000
PF10517	0.000	0.000	0.000	0.000	0.000
PF07841	0.000	0.000	0.000	0.000	0.000
PF03474	0.000	0.000	0.000	0.000	0.000
PF05499	0.000	0.000	0.000	0.000	0.000
PF06464	0.000	0.000	0.000	0.000	0.000
PF07263	0.000	0.000	0.000	0.000	0.000
PF07836	0.000	0.000	0.000	0.000	0.000
PF08826	0.000	0.000	0.000	0.000	0.000
PF00885	0.000	0.000	0.000	0.000	0.000
PF12374	0.000	0.000	0.000	0.000	0.000
PF04976	0.000	0.000	0.000	0.000	0.000
PF08696	0.000	0.000	0.000	0.000	0.000
PF11638	0.000	0.000	0.000	0.000	0.000
PF00772	0.000	0.000	0.000	0.000	0.000
PF07261	0.000	0.000	0.000	0.000	0.000
PF10410	0.000	0.000	0.000	0.000	0.000
PF03796	0.000	0.000	0.000	0.000	0.000
PF08278	0.000	0.000	0.000	0.000	0.000
PF07319	0.000	0.000	0.000	0.000	0.000
PF00226	0.000	0.000	0.000	0.000	0.000
PF14308	0.000	0.000	0.000	0.000	0.000
PF00684	0.000	0.000	0.000	0.000	0.000
PF12339	0.000	0.000	0.000	0.000	0.000
PF09115	0.000	0.000	0.000	0.000	0.000
PF11590	0.000	0.000	0.000	0.000	0.000
PF08452	0.000	0.000	0.000	0.000	0.000
PF02577	0.000	0.000	0.000	0.000	0.000
PF03265	0.000	0.000	0.000	0.000	0.000
PF14040	0.000	0.000	0.000	0.000	0.000
PF08713	0.000	0.000	0.000	0.000	0.000
PF01035	0.000	0.000	0.000	0.000	0.000
PF13724	0.000	0.000	0.000	0.000	0.000
PF07157	0.000	0.000	0.000	0.000	0.000
PF03989	0.000	0.000	0.000	0.000	0.000
PF00204	0.000	0.000	0.000	0.000	0.000
PF00986	0.000	0.000	0.000	0.000	0.000
PF03603	0.000	0.000	0.000	0.000	0.000
PF01653	0.000	0.000	0.000	0.000	0.000
PF04679	0.000	0.000	0.000	0.000	0.000
PF01068	0.000	0.000	0.000	0.000	0.000
PF04675	0.000	0.000	0.000	0.000	0.000
PF11411	0.000	0.000	0.000	0.000	0.000
PF03120	0.000	0.000	0.000	0.000	0.000
PF14743	0.000	0.000	0.000	0.000	0.000
PF03119	0.000	0.000	0.000	0.000	0.000
PF00145	0.000	0.000	0.000	0.000	0.000
PF01119	0.000	0.000	0.000	0.000	0.000
PF11053	0.000	0.000	0.000	0.000	0.000
PF11123	0.000	0.000	0.000	0.000	0.000
PF02499	0.000	0.000	0.000	0.000	0.000
PF02500	0.000	0.000	0.000	0.000	0.000
PF00875	0.000	0.000	0.000	0.000	0.000
PF07733	0.000	0.000	0.000	0.000	0.000
PF14480	0.000	0.000	0.000	0.000	0.000
PF11490	0.000	0.000	0.000	0.000	0.000
PF00712	0.000	0.000	0.000	0.000	0.000
PF02767	0.000	0.000	0.000	0.000	0.000
PF02768	0.000	0.000	0.000	0.000	0.000
PF04364	0.000	0.000	0.000	0.000	0.000
PF06144	0.000	0.000	0.000	0.000	0.000
PF13177	0.000	0.000	0.000	0.000	0.000
PF14840	0.000	0.000	0.000	0.000	0.000
PF12169	0.000	0.000	0.000	0.000	0.000
PF12168	0.000	0.000	0.000	0.000	0.000
PF12170	0.000	0.000	0.000	0.000	0.000
PF06440	0.000	0.000	0.000	0.000	0.000
PF00476	0.000	0.000	0.000	0.000	0.000
PF12254	0.000	0.000	0.000	0.000	0.000
PF01612	0.000	0.000	0.000	0.000	0.000
PF00136	0.000	0.000	0.000	0.000	0.000
PF03175	0.000	0.000	0.000	0.000	0.000
PF08408	0.000	0.000	0.000	0.000	0.000
PF03104	0.000	0.000	0.000	0.000	0.000
PF10108	0.000	0.000	0.000	0.000	0.000
PF14792	0.000	0.000	0.000	0.000	0.000
PF14791	0.000	0.000	0.000	0.000	0.000
PF04081	0.000	0.000	0.000	0.000	0.000
PF04042	0.000	0.000	0.000	0.000	0.000
PF10391	0.000	0.000	0.000	0.000	0.000
PF04931	0.000	0.000	0.000	0.000	0.000
PF00336	0.000	0.000	0.000	0.000	0.000
PF00242	0.000	0.000	0.000	0.000	0.000
PF02916	0.000	0.000	0.000	0.000	0.000
PF04104	0.000	0.000	0.000	0.000	0.000
PF01896	0.000	0.000	0.000	0.000	0.000
PF02481	0.000	0.000	0.000	0.000	0.000
PF14966	0.000	0.000	0.000	0.000	0.000
PF03604	0.000	0.000	0.000	0.000	0.000
PF00521	0.000	0.000	0.000	0.000	0.000
PF14709	0.000	0.000	0.000	0.000	0.000
PF14072	0.000	0.000	0.000	0.000	0.000
PF01712	0.000	0.000	0.000	0.000	0.000
PF12047	0.000	0.000	0.000	0.000	0.000
PF14429	0.000	0.000	0.000	0.000	0.000
PF00404	0.000	0.000	0.000	0.000	0.000
PF08990	0.000	0.000	0.000	0.000	0.000
PF07311	0.000	0.000	0.000	0.000	0.000
PF14144	0.000	0.000	0.000	0.000	0.000
PF03351	0.000	0.000	0.000	0.000	0.000
PF08883	0.000	0.000	0.000	0.000	0.000
PF04118	0.000	0.000	0.000	0.000	0.000
PF11466	0.000	0.000	0.000	0.000	0.000
PF14839	0.000	0.000	0.000	0.000	0.000
PF04124	0.000	0.000	0.000	0.000	0.000
PF08123	0.000	0.000	0.000	0.000	0.000
PF11388	0.000	0.000	0.000	0.000	0.000
PF09475	0.000	0.000	0.000	0.000	0.000
PF07680	0.000	0.000	0.000	0.000	0.000
PF04173	0.000	0.000	0.000	0.000	0.000
PF07681	0.000	0.000	0.000	0.000	0.000
PF13564	0.000	0.000	0.000	0.000	0.000
PF13781	0.000	0.000	0.000	0.000	0.000
PF08781	0.000	0.000	0.000	0.000	0.000
PF03330	0.000	0.000	0.000	0.000	0.000
PF14913	0.000	0.000	0.000	0.000	0.000
PF07297	0.000	0.000	0.000	0.000	0.000
PF08285	0.000	0.000	0.000	0.000	0.000
PF14207	0.000	0.000	0.000	0.000	0.000
PF04556	0.000	0.000	0.000	0.000	0.000
PF12213	0.000	0.000	0.000	0.000	0.000
PF14049	0.000	0.000	0.000	0.000	0.000
PF00930	0.000	0.000	0.000	0.000	0.000
PF04244	0.000	0.000	0.000	0.000	0.000
PF05186	0.000	0.000	0.000	0.000	0.000
PF10034	0.000	0.000	0.000	0.000	0.000
PF07357	0.000	0.000	0.000	0.000	0.000
PF15550	0.000	0.000	0.000	0.000	0.000
PF11719	0.000	0.000	0.000	0.000	0.000
PF05558	0.000	0.000	0.000	0.000	0.000
PF05219	0.000	0.000	0.000	0.000	0.000
PF06345	0.000	0.000	0.000	0.000	0.000
PF06346	0.000	0.000	0.000	0.000	0.000
PF06367	0.000	0.000	0.000	0.000	0.000
PF06371	0.000	0.000	0.000	0.000	0.000
PF07539	0.000	0.000	0.000	0.000	0.000
PF07522	0.000	0.000	0.000	0.000	0.000
PF06044	0.000	0.000	0.000	0.000	0.000
PF14860	0.000	0.000	0.000	0.000	0.000
PF02635	0.000	0.000	0.000	0.000	0.000
PF13686	0.000	0.000	0.000	0.000	-0.015
PF07085	0.000	0.000	0.000	0.000	0.000
PF09750	0.000	0.000	0.000	0.000	0.000
PF12393	0.000	0.000	0.000	0.000	0.000
PF01916	0.000	0.000	0.000	0.000	0.000
PF01323	0.000	0.000	0.000	0.000	0.000
PF02600	0.000	0.000	0.000	0.000	0.000
PF11412	0.000	0.000	0.000	0.000	0.000
PF10411	0.000	0.000	0.000	0.000	0.000
PF02683	0.000	0.000	0.000	0.000	0.000
PF13386	0.000	0.000	0.000	0.000	0.000
PF12355	0.000	0.000	0.000	0.000	0.000
PF01984	0.000	0.000	0.000	0.000	0.000
PF08148	0.000	0.000	0.000	0.000	0.000
PF12316	0.000	0.000	0.000	0.000	0.000
PF01414	0.000	0.000	0.000	0.000	0.000
PF11989	0.000	0.000	0.000	0.000	0.000
PF11988	0.000	0.000	0.000	0.000	0.000
PF00782	0.000	0.000	0.000	0.000	0.000
PF14671	0.000	0.000	0.000	0.000	0.000
PF10781	0.000	0.000	0.000	0.000	0.000
PF04358	0.000	0.000	0.000	0.000	0.000
PF08679	0.000	0.000	0.000	0.000	0.000
PF04077	0.000	0.000	0.000	0.000	0.000
PF00035	0.000	0.000	0.000	0.000	0.000
PF05160	0.000	0.000	0.000	0.000	0.000
PF08828	0.000	0.000	0.000	0.000	0.000
PF00908	0.000	-0.016	-0.044	0.000	-0.085
PF08070	0.000	0.000	0.000	0.000	0.000
PF02593	0.000	0.000	0.000	0.000	0.000
PF03942	0.000	0.000	0.000	0.000	0.000
PF06207	0.000	0.000	0.000	0.000	0.000
PF06210	0.000	0.000	0.000	0.000	0.000
PF06219	0.000	0.000	0.000	0.000	0.000
PF06226	0.000	0.000	0.000	0.000	0.000
PF06230	0.000	0.000	0.000	0.000	0.000
PF06231	0.000	0.000	0.000	0.000	0.000
PF06237	0.000	0.000	0.000	0.000	0.000
PF06241	0.000	0.000	0.000	0.000	0.000
PF06242	0.000	0.000	0.000	0.000	0.000
PF06244	0.000	0.000	0.000	0.000	0.000
PF06245	0.000	0.000	0.000	0.000	0.000
PF06250	0.000	0.000	0.000	0.000	0.000
PF06252	0.000	0.000	0.000	0.000	0.000
PF06254	0.000	0.000	0.000	0.000	0.000
PF06255	0.000	0.000	0.000	0.000	0.000
PF06257	0.000	0.000	0.000	0.000	0.000
PF06260	0.000	0.000	0.000	0.000	0.000
PF06262	0.000	0.000	0.000	0.000	0.000
PF06265	0.000	0.000	0.000	0.000	0.000
PF06267	0.000	0.000	0.000	0.000	0.000
PF06269	0.000	0.000	0.000	0.000	0.000
PF06270	0.000	0.000	0.000	0.000	0.000
PF06275	0.000	0.000	0.000	0.000	0.000
PF06278	0.000	0.000	0.000	0.000	0.000
PF06279	0.000	0.000	0.000	0.000	0.000
PF06280	0.000	0.000	0.000	0.000	0.000
PF06281	0.000	0.000	0.000	0.000	0.000
PF06282	0.000	0.000	0.000	0.000	0.000
PF06287	0.000	0.000	0.000	0.000	0.000
PF01954	0.000	0.000	0.000	0.000	0.000
PF06288	0.000	0.000	0.000	0.000	0.000
PF06292	0.000	0.000	0.000	0.000	0.000
PF06294	0.000	0.000	0.000	0.000	0.000
PF06295	0.000	0.000	0.000	0.000	0.000
PF06296	0.000	0.000	0.000	0.000	0.000
PF06299	0.000	0.000	0.000	0.000	0.000
PF06304	0.000	0.000	0.000	0.000	0.000
PF06305	0.000	0.000	0.000	0.000	0.000
PF06319	0.000	0.000	0.000	0.000	0.000
PF06327	0.000	0.000	0.000	0.000	0.000
PF06335	0.000	0.000	0.000	0.000	0.000
PF06341	0.000	0.000	0.000	0.000	0.000
PF06342	0.000	0.000	0.000	0.000	0.000
PF06348	0.000	0.000	0.000	0.000	0.000
PF01956	0.000	0.000	0.000	0.000	0.000
PF06353	0.000	0.000	0.000	0.000	0.000
PF06356	0.000	0.000	0.000	0.000	0.000
PF06358	0.000	0.000	0.000	0.000	0.000
PF06362	0.000	0.000	0.000	0.000	0.000
PF06364	0.000	0.000	0.000	0.000	0.000
PF06370	0.000	0.000	0.000	0.000	0.000
PF06376	0.000	0.000	0.000	0.000	0.000
PF06378	0.000	0.000	0.000	0.000	0.000
PF06380	0.000	0.000	0.000	0.000	0.000
PF06381	0.000	0.000	0.000	0.000	0.000
PF06382	0.000	0.000	0.000	0.000	0.000
PF06388	0.000	0.000	0.000	0.000	0.000
PF06416	0.000	0.000	0.000	0.000	0.000
PF06417	0.000	0.000	0.000	0.000	0.000
PF06435	0.000	0.000	0.000	0.000	0.000
PF01958	0.000	0.000	0.000	0.000	0.000
PF06439	0.000	0.000	0.000	0.000	0.000
PF06448	0.000	0.000	0.000	0.000	0.000
PF06449	0.000	0.000	0.000	0.000	0.000
PF06452	0.000	0.000	0.000	0.000	0.000
PF06454	0.000	0.000	0.000	0.000	0.000
PF06461	0.000	0.000	0.000	0.000	0.000
PF06465	0.000	0.000	0.000	0.000	0.000
PF06469	0.000	0.000	0.000	0.000	0.000
PF06476	0.000	0.000	0.000	0.000	0.000
PF06477	0.000	0.000	0.000	0.000	0.000
PF06485	0.000	0.000	0.000	0.000	0.000
PF06486	0.000	0.000	0.000	0.000	0.000
PF06493	0.000	0.000	0.000	0.000	0.000
PF06496	0.000	0.000	0.000	0.000	0.000
PF06497	0.000	0.000	0.000	0.000	0.000
PF01345	0.000	0.000	0.000	0.000	0.000
PF06500	0.000	0.000	0.000	0.000	0.000
PF06503	0.000	0.000	0.000	0.000	0.000
PF06510	0.000	0.000	0.000	0.000	0.000
PF06513	0.000	0.000	0.000	0.000	0.000
PF06518	0.000	0.000	0.000	0.000	0.000
PF06523	0.000	0.000	0.000	0.000	0.000
PF06526	0.000	0.000	0.000	0.000	0.000
PF06531	0.000	0.000	0.000	0.000	0.000
PF06532	0.000	0.000	0.000	0.000	0.000
PF01969	0.000	0.000	0.000	0.000	0.000
PF06533	0.000	0.000	0.000	0.000	0.000
PF06537	0.000	0.000	0.000	0.000	0.000
PF06541	0.000	0.000	0.000	0.000	0.000
PF06544	0.000	0.000	0.000	0.000	0.000
