	name
87626	Pseudoalteromonas tunicata D2
1122176	Lewinella cohaerens DSM 23179
1122179	Lewinella persica DSM 23188
385957	Amycolatopsis sp. ATCC 39116
471856	Jonesia denitrificans DSM 20603
479430	Actinospica robiniae DSM 44927
479433	Catenulispora acidiphila DSM 44928
593907	Cellulomonas gilvus ATCC 13127
665577	Streptomyces viridosporus T7A
720554	[Clostridium] clariflavum DSM 19732
869211	Spirochaeta thermophila DSM 6578
979226	Cohnella panacarvi Gsoil 349
